Directory,File Name,Matched Directory,Matched File Name
chrome/content/zotero,contextPane.js,chrome/content/zotero,customElements.js
chrome/content/zotero,contextPane.js,chrome/content/zotero,zoteroPane.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,customElements.js
chrome/content/zotero,customElements.js,scss/xulElementPatches,README.md
chrome/content/zotero,customElements.js,scss/xulElementPatches,wizard.scss
chrome/content/zotero,customElements.js,chrome/content/zotero,searchDialog.xhtml
chrome/content/zotero,customElements.js,scss/xulElementPatches,dialog-mac.scss
chrome/content/zotero,customElements.js,chrome/content/zotero,bibliography.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,merge.xhtml
chrome/content/zotero,customElements.js,app/scripts,fetch_xulrunner
chrome/content/zotero,customElements.js,chrome/content/zotero,about.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,newCollectionDialog.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,selectItemsDialog.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero/preferences,preferences.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero/integration,integrationDocPrefs.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero/integration,citationExplorer.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,tagColorChooser.xhtml
chrome/content/zotero,customElements.js,scss/xulElementPatches,dialog-win.scss
chrome/content/zotero,customElements.js,chrome/content/zotero,publicationsDialog.xhtml
chrome/content/zotero,customElements.js,chrome/content/scaffold,load.js
chrome/content/zotero,customElements.js,chrome/content/zotero,zoteroPane.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero/integration,editBibliographyDialog.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero/update,update-header.js
chrome/content/zotero,customElements.js,chrome/content/scaffold,scaffold.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero/import,importWizard.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,errorReport.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,exportOptions.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,advancedSearch.xhtml
chrome/content/zotero,customElements.js,chrome/content/scaffold,select.xhtml
chrome/content/zotero,customElements.js,scss/xulElementPatches,wizard-win.scss
chrome/content/zotero,customElements.js,chrome/content/zotero,note.xhtml
chrome/content/zotero,customElements.js,chrome/content/zotero,feedSettings.xhtml
chrome/content/zotero,advancedSearch.js,chrome/content/zotero,advancedSearch.xhtml
chrome/content/zotero,createParentDialog.js,chrome/content/zotero,createParentDialog.xhtml
chrome/content/scaffold,content.js,chrome/content/scaffold,scaffold.js
chrome/content/scaffold,content.js,chrome/content/zotero/standalone,basicViewer.js
chrome/content/scaffold,content.js,chrome/content/zotero/actors,TranslationChild.jsm
chrome/content/zotero,include.js,resource,citeproc_rs_wasm_include.js
chrome/content/zotero,include.js,chrome/content/zotero,runJS.html
chrome/content/zotero,include.js,chrome/content/zotero/ace,ace.html
chrome/content/zotero,include.js,chrome/content/zotero,attachLink.xhtml
chrome/content/zotero,include.js,.babelrc,.babelrc
chrome/content/zotero,include.js,chrome/content/zotero,exportOptions.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,bibliography.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,createParentDialog.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,captcha.xul
chrome/content/zotero,include.js,chrome/content/zotero,customElements.js
chrome/content/zotero,include.js,chrome/content/zotero,progressQueueDialog.xhtml
chrome/content/zotero,include.js,chrome/content/zotero/tools,build_typeSchemaData.html
chrome/content/zotero,include.js,chrome/content/zotero/preferences,librariesToSync.xhtml
chrome/content/zotero,include.js,chrome/content/zotero/standalone,updatesOverlay.xul
chrome/content/zotero,include.js,chrome/content/zotero/import/mendeley,mendeleyImport.js
chrome/content/zotero,include.js,chrome/content/zotero,errorReport.xhtml
chrome/content/zotero,include.js,chrome/content/scaffold,scaffold.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,proxy.xul
chrome/content/zotero,include.js,chrome/content/zotero,hardConfirmationDialog.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,merge.xhtml
chrome/content/zotero,include.js,chrome/content/zotero/preferences,quickCopySiteEditor.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,longTagFixer.xhtml
chrome/content/zotero,include.js,chrome/content/zotero/integration,editBibliographyDialog.xhtml
chrome/content/zotero,include.js,chrome/skin/default/zotero/timeline,timeline.html
chrome/content/zotero,include.js,chrome/content/zotero,dictionaryManager.xhtml
chrome/content/zotero,include.js,chrome/content/zotero,about.xhtml
chrome/content/zotero,include.js,chrome/content/zotero/tools,data_generator.html
chrome/content/zotero,include.js,chrome/content/zotero/integration,integrationDocPrefs.xhtml
chrome/content/zotero,include.js,chrome/content/zotero/import,folderImport.js
chrome/content/zotero,include.js,chrome/content/zotero/integration,citationDialog.xhtml
chrome/content/zotero/integration,editBibliographyDialog.js,chrome/content/zotero/integration,editBibliographyDialog.xhtml
chrome/content/zotero,titlebar.js,chrome/content/scaffold,load.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,attachLink.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,searchDialog.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,progressWindow.xhtml
chrome/content/zotero,titlebar.js,chrome/content/scaffold,select.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,merge.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero/integration,progressBar.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,feedSettings.xhtml
chrome/content/zotero,titlebar.js,chrome/content/scaffold,scaffold.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,tagColorChooser.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,selectItemsDialog.xhtml
chrome/content/zotero,titlebar.js,app/scripts,fetch_xulrunner
chrome/content/zotero,titlebar.js,chrome/content/zotero,newCollectionDialog.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,exportOptions.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,bibliography.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,zoteroPane.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero/integration,citationDialog.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,longTagFixer.xhtml
chrome/content/zotero,titlebar.js,chrome/content/zotero,createParentDialog.xhtml
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,zotero.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,session.js
chrome/content/zotero/xpcom,zotero.js,app,build.sh
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero,zotero.mjs
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/actors,TranslationChild.jsm
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,streamer.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero,RemoteTranslate.jsm
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,schema.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom/data,cachedTypes.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom/sync,syncRunner.js
chrome/content/zotero/xpcom,zotero.js,chrome/skin/default/zotero/timeline,timelineControls.js
chrome/content/zotero/xpcom,zotero.js,js-build,ftl-to-json.mjs
chrome/content/zotero/xpcom,zotero.js,js-build,localize-ftl.mjs
